case_id	verdict	narrative_score	confidence	n_sources	n_moments	density	arc	artifact	unique	scored_at	resolution_status	gate_applied	pre_gate_verdict
t6h8Uae2Q_E	SKIP	11.2	0.50	5	6	1.3	15.0	20.0	22.0	2026-05-01T21:20:39.191590Z	confirmed_final_outcome	false	SKIP
s6CXNbzKlks	SKIP	15.3	0.50	4	10	2.8	15.0	20.0	57.0	2026-05-01T21:20:40.443821Z	charges_filed_pending	false	SKIP
Vn2Wqccg05w	SKIP	15.3	0.50	5	10	2.7	15.0	20.0	57.0	2026-05-01T21:20:45.290761Z	confirmed_final_outcome	false	SKIP
QHAYwcCeKms	SKIP	14.0	0.50	4	8	1.9	15.0	20.0	47.0	2026-05-01T21:20:48.100584Z	confirmed_final_outcome	false	SKIP
6Ghe55PHc58	SKIP	13.3	0.50	5	6	1.5	15.0	20.0	42.0	2026-05-01T21:20:49.188311Z	confirmed_final_outcome	false	SKIP
cgCYon_kKno	SKIP	13.4	0.50	4	4	0.9	15.0	20.0	45.0	2026-05-01T21:20:54.302736Z	confirmed_final_outcome	false	SKIP
JBRHS5vErpg	SKIP	14.5	0.50	5	5	1.2	15.0	20.0	55.0	2026-05-01T21:20:55.593857Z	charges_filed_pending	false	SKIP
fsL0ag9ySao	SKIP	13.2	0.50	3	4	1.2	15.0	20.0	42.0	2026-05-01T21:20:58.809409Z	charges_filed_pending	false	SKIP
29PVkF6hcnw	SKIP	15.0	0.50	5	8	2.1	15.0	20.0	57.0	2026-05-01T21:21:05.304949Z	confirmed_final_outcome	false	SKIP
Vn2Wqccg05w	HOLD	57.0	0.75	5	8	3.3	100.0	100.0	57.0	2026-05-01T21:24:13.371033Z	confirmed_final_outcome	false	HOLD
s6CXNbzKlks	HOLD	46.5	0.75	4	5	1.5	100.0	58.6	42.0	2026-05-01T21:24:23.902760Z	charges_filed_pending	false	HOLD
t6h8Uae2Q_E	HOLD	54.3	0.75	5	7	2.7	100.0	100.0	32.0	2026-05-01T21:24:46.959462Z	confirmed_final_outcome	false	HOLD
6Ghe55PHc58	HOLD	53.8	0.75	5	5	1.5	100.0	100.0	32.0	2026-05-01T21:25:41.958225Z	confirmed_final_outcome	false	HOLD
QHAYwcCeKms	HOLD	46.7	0.70	4	6	1.9	100.0	58.6	42.0	2026-05-01T21:25:52.559013Z	confirmed_final_outcome	false	HOLD
cgCYon_kKno	HOLD	54.9	0.80	4	4	1.0	100.0	100.0	45.0	2026-05-01T21:26:24.774899Z	confirmed_final_outcome	false	HOLD
fsL0ag9ySao	HOLD	47.6	0.75	3	6	2.2	100.0	52.8	62.0	2026-05-01T21:27:43.344041Z	charges_filed_pending	false	HOLD
JBRHS5vErpg	HOLD	56.8	0.75	5	8	2.7	100.0	100.0	57.0	2026-05-01T21:27:43.631541Z	charges_filed_pending	false	HOLD
29PVkF6hcnw	HOLD	57.3	0.75	5	8	2.9	100.0	100.0	62.0	2026-05-01T21:27:48.151060Z	confirmed_final_outcome	false	HOLD
s6CXNbzKlks	HOLD	47.3	0.75	4	6	2.1	100.0	58.6	47.0	2026-05-01T21:34:54.910566Z	charges_filed_pending	false	HOLD
t6h8Uae2Q_E	HOLD	54.5	0.75	5	8	3.3	100.0	100.0	32.0	2026-05-01T21:35:05.079326Z	confirmed_final_outcome	false	HOLD
Vn2Wqccg05w	HOLD	56.8	0.75	5	10	2.7	100.0	100.0	57.0	2026-05-01T21:35:25.805474Z	confirmed_final_outcome	false	HOLD
QHAYwcCeKms	HOLD	46.6	0.65	4	6	1.8	100.0	58.6	42.0	2026-05-01T21:36:24.966801Z	confirmed_final_outcome	false	HOLD
cgCYon_kKno	PRODUCE	54.9	0.92	4	4	1.0	100.0	100.0	45.0	2026-05-01T21:36:56.175871Z	confirmed_final_outcome	false	PRODUCE
6Ghe55PHc58	HOLD	55.1	0.75	5	6	1.6	100.0	100.0	45.0	2026-05-01T21:36:59.240232Z	confirmed_final_outcome	false	HOLD
JBRHS5vErpg	HOLD	56.0	0.85	5	5	1.3	100.0	100.0	55.0	2026-05-01T21:37:39.308204Z	charges_filed_pending	false	HOLD
29PVkF6hcnw	HOLD	54.1	0.78	5	5	2.3	100.0	100.0	32.0	2026-05-01T21:38:19.580617Z	confirmed_final_outcome	false	HOLD
fsL0ag9ySao	HOLD	46.3	0.75	3	5	1.4	100.0	52.8	52.0	2026-05-01T21:38:25.458048Z	charges_filed_pending	false	HOLD
s6CXNbzKlks	PRODUCE	67.6	0.92	4	6	55.6	100.0	58.6	37.0	2026-05-01T21:46:41.021110Z	charges_filed_pending	false	PRODUCE
Vn2Wqccg05w	PRODUCE	90.3	0.95	5	7	86.6	100.0	100.0	57.0	2026-05-01T21:46:52.669623Z	confirmed_final_outcome	false	PRODUCE
t6h8Uae2Q_E	PRODUCE	80.7	0.95	5	7	68.7	100.0	100.0	32.0	2026-05-01T21:46:57.150057Z	confirmed_final_outcome	false	PRODUCE
